FirstName,LastName,Age,Pos,Tm,H/A,Opp,Column2,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
Terrence,Ross,29-328,F-G,ORL,A,OKC,W,12/29/2020,0,25,7,13,0.538,7,9,0.778,0,4,0,0,1,0,0,1,1,1,1,0,0,1,14,8.9,-4.6
Evan,Fournier,28-058,G-F,ORL,A,WAS,W,12/26/2020,1,29,4,8,0.5,3,3,1,1,5,0.2,4,5,0.8,1,4,5,0,2,0,2,4,13,8.9,-4.4
Cole,Anthony,20-228,G,ORL,A,OKC,W,12/29/2020,0,16,1,5,0.2,0,3,0,1,2,0.5,4,4,1,1,3,4,3,1,0,0,2,7,7.8,2.8
Aaron,Gordon,25-104,F,ORL,A,OKC,W,12/29/2020,1,22,5,10,0.5,5,7,0.714,0,3,0,2,2,1,0,5,5,2,1,1,3,2,12,7.8,-4.4
Cole,Anthony,20-225,G,ORL,A,WAS,W,12/26/2020,0,17,4,11,0.364,3,7,0.429,1,4,0.25,0,0,0,1,4,5,5,0,0,0,2,9,7.5,-1.6
Markelle,Fultz,22-208,G,ORL,H,MIA,W,12/23/2020,1,29,6,15,0.4,6,12,0.5,0,3,0,3,3,1,0,5,5,4,1,1,4,4,15,7.3,-8.7
Markelle,Fultz,22-218,G,ORL,H,OKC,L,1/2/2021,1,35,5,16,0.313,4,12,0.333,1,4,0.25,1,2,0.5,0,3,3,8,2,0,3,2,12,7.1,-7.6
Michael,Carter-Williams,29-082,G,ORL,H,PHI,L,12/31/2020,0,27,3,11,0.273,3,9,0.333,0,2,0,4,4,1,2,4,6,1,0,1,0,1,10,7.1,-3.8
Cole,Anthony,20-222,G,ORL,H,MIA,W,12/23/2020,0,19,3,5,0.6,3,4,0.75,0,1,0,0,0,0,0,2,2,6,2,0,3,1,6,7.1,2.8
Khem,Birch,28-090,C-F,ORL,A,WAS,W,12/27/2020,0,20,1,6,0.167,1,6,0.167,0,0,0,4,4,1,2,5,7,2,0,1,0,1,6,6.8,-2.9
Jordan,Bone,23-062,G,ORL,H,CLE,W,1/6/2021,0,12,3,4,0.75,2,2,1,1,2,0.5,0,0,0,1,2,3,1,0,0,0,2,7,6.6,
