FirstName,LastName,Age,Pos,Date,Tm,H/A,Opp,Outcome,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Michael,Carter-Williams,29-074,G,12/23/2020,ORL,,MIA,W,4.3,0,18,2,5,0.4,2,3,0.667,0,2,0,0,0,,3,0,3,0,1,1,0,2,4,-3.5
Dwayne,Bacon,25-119,G,12/27/2020,ORL,@,WAS,W,4.2,1,17,2,4,0.5,2,3,0.667,0,1,0,2,2,1,0,3,3,0,0,1,1,1,6,-5
Dwayne,Bacon,25-123,G,12/31/2020,ORL,,PHI,L,4.1,1,28,4,9,0.444,3,6,0.5,1,3,0.333,1,2,0.5,0,3,3,1,0,0,2,1,10,-6.7
James,Ennis,30-189,F,1/6/2021,ORL,,CLE,W,4,0,16,2,3,0.667,2,2,1,0,1,0,2,2,1,2,0,2,1,0,0,2,2,6,-3.2
Terrence,Ross,29-339,F-G,1/9/2021,ORL,@,DAL,L,4,0,33,3,12,0.25,3,8,0.375,0,4,0,5,5,1,0,4,4,3,0,1,3,2,11,-11.2
Jordan,Bone,23-056,G,12/31/2020,ORL,,PHI,L,3.7,0,9,2,4,0.5,2,3,0.667,0,1,0,0,0,,1,1,2,1,0,0,0,0,4,1.9
Dwayne,Bacon,25-127,G,1/4/2021,ORL,,CLE,W,3.6,1,25,3,7,0.429,1,3,0.333,2,4,0.5,0,0,,0,2,2,1,1,0,3,0,8,-1.4
Chuma,Okeke,22-135,F,12/31/2020,ORL,,PHI,L,3.6,0,17,2,4,0.5,0,0,,2,4,0.5,0,0,,0,1,1,1,0,0,1,1,6,-1.3
Dwayne,Bacon,25-131,G,1/8/2021,ORL,@,HOU,L,3.4,1,28,4,10,0.4,4,9,0.444,0,1,0,2,3,0.667,0,1,1,1,0,0,1,2,10,-12.2
James,Ennis,30-191,F,1/8/2021,ORL,@,HOU,L,3.4,1,20,2,7,0.286,2,7,0.286,0,0,,2,2,1,1,2,3,2,1,0,1,3,6,-9.4
James,Ennis,30-201,F,1/18/2021,ORL,@,NYK,L,3.4,1,24,2,6,0.333,1,2,0.5,1,4,0.25,0,0,,0,2,2,2,1,2,1,4,5,0.1
Aaron,Gordon,25-102,F,12/27/2020,ORL,@,WAS,W,3.4,1,20,1,4,0.25,1,3,0.333,0,1,0,2,2,1,0,6,6,0,0,0,0,0,4,-8
Cole,Anthony,20-245,G,1/15/2021,ORL,@,BOS,L,3.3,1,27,7,18,0.389,6,12,0.5,1,6,0.167,0,1,0,1,5,6,3,0,0,5,2,15,-12.3
Dwayne,Bacon,25-143,G,1/20/2021,ORL,@,MIN,W,3.2,0,20,2,5,0.4,2,4,0.5,0,1,0,0,0,,0,4,4,1,0,0,0,0,4,-6.9
