Rk,Player,Age,Pos,Date,Tm,,Opp,,GmSc,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
58,Jordan Bone\bonejo01,23-067,G,2021-01-11,ORL,,MIL,L,7.0,0,29,3,6,.500,1,2,.500,2,4,.500,0,0,,1,3,4,2,0,0,1,0,8,-2.6
59,Khem Birch\birchkh01,28-090,C-F,2020-12-27,ORL,@,WAS,W,6.8,0,20,1,6,.167,1,6,.167,0,0,,4,4,1.000,2,5,7,2,0,1,0,1,6,-2.9
60,Jordan Bone\bonejo01,23-062,G,2021-01-06,ORL,,CLE,W,6.6,0,12,3,4,.750,2,2,1.000,1,2,.500,0,0,,1,2,3,1,0,0,0,2,7,9.6
61,Cole Anthony\anthoco01,20-230,G,2020-12-31,ORL,,PHI,L,6.5,0,30,5,18,.278,4,14,.286,1,4,.250,5,5,1.000,1,6,7,2,0,0,2,2,16,-7.2
62,Khem Birch\birchkh01,28-110,C-F,2021-01-16,ORL,@,BRK,L,6.4,0,25,3,9,.333,3,7,.429,0,2,.000,3,4,.750,1,3,4,2,0,1,0,2,9,-8.2
63,Khem Birch\birchkh01,28-089,C-F,2020-12-26,ORL,@,WAS,W,6.4,0,17,4,6,.667,4,6,.667,0,0,,0,0,,0,5,5,1,0,0,0,3,8,-1.3
64,Evan Fournier\fournev01,28-061,G-F,2020-12-29,ORL,@,OKC,W,6.4,1,32,5,11,.455,3,5,.600,2,6,.333,2,2,1.000,0,1,1,2,2,0,4,4,14,-7.7
65,Cole Anthony\anthoco01,20-234,G,2021-01-04,ORL,,CLE,W,6.3,0,21,2,9,.222,1,7,.143,1,2,.500,4,5,.800,1,4,5,4,0,1,1,3,9,-3.5
66,Jordan Bone\bonejo01,23-071,G,2021-01-15,ORL,@,BOS,L,6.1,0,27,4,8,.500,3,5,.600,1,3,.333,0,0,,0,3,3,0,1,0,0,2,9,-4.1
67,Jordan Bone\bonejo01,23-064,G,2021-01-08,ORL,@,HOU,L,6.0,0,28,3,8,.375,2,3,.667,1,5,.200,0,0,,0,2,2,4,0,0,0,0,7,-6.1
68,Khem Birch\birchkh01,28-096,C-F,2021-01-02,ORL,,OKC,L,5.7,0,15,2,4,.500,2,4,.500,0,0,,1,1,1.000,2,0,2,0,1,1,0,1,5,-1.3
69,Chuma Okeke\okekech01,22-133,F,2020-12-29,ORL,@,OKC,W,5.6,0,18,1,3,.333,1,2,.500,0,1,.000,1,2,.500,1,2,3,1,2,1,0,0,3,2.4
70,Dwayne Bacon\bacondw01,25-139,G,2021-01-16,ORL,@,BRK,L,5.4,1,29,4,10,.400,3,7,.429,1,3,.333,1,2,.500,0,0,0,0,2,0,0,2,10,-8.3
71,Dwayne Bacon\bacondw01,25-118,G,2020-12-26,ORL,@,WAS,W,5.3,1,20,2,3,.667,0,1,.000,2,2,1.000,0,0,,0,1,1,1,1,0,1,1,6,1.8
72,Khem Birch\birchkh01,28-094,C-F,2020-12-31,ORL,,PHI,L,5.2,0,24,2,7,.286,2,7,.286,0,0,,2,2,1.000,4,3,7,1,1,1,2,2,6,-6.2
73,Mohamed Bamba\bambamo01,22-244,C,2021-01-11,ORL,,MIL,L,5.1,0,11,3,7,.429,3,5,.600,0,2,.000,2,3,.667,3,1,4,1,0,1,1,4,8,-5.8
74,Michael Carter-Williams\cartemi01,29-077,G,2020-12-26,ORL,@,WAS,W,4.9,0,19,3,4,.750,2,2,1.000,1,2,.500,1,2,.500,2,1,3,2,0,0,3,3,8,-3.3
75,Gary Clark\clarkga01,26-054,F,2021-01-09,ORL,@,DAL,L,4.9,0,22,2,5,.400,0,1,.000,2,4,.500,0,0,,2,2,4,0,1,0,1,1,6,-1.6
76,Khem Birch\birchkh01,28-086,C-F,2020-12-23,ORL,,MIA,W,4.8,0,14,2,4,.500,2,4,.500,0,0,,2,2,1.000,1,1,2,0,1,0,0,3,6,-3.2
77,Markelle Fultz\fultzma01,22-216,G,2020-12-31,ORL,,PHI,L,4.8,1,24,4,11,.364,4,10,.400,0,1,.000,1,1,1.000,0,2,2,4,1,1,2,3,9,-5.0
78,Dwayne Bacon\bacondw01,25-134,G,2021-01-11,ORL,,MIL,L,4.7,1,28,5,11,.455,5,10,.500,0,1,.000,1,2,.500,0,3,3,0,0,1,1,2,11,-7.3
79,James Ennis\ennisja01,30-192,F,2021-01-09,ORL,@,DAL,L,4.6,1,21,2,5,.400,2,3,.667,0,2,.000,0,0,,0,2,2,1,3,0,1,0,4,-1.1
80,Chuma Okeke\okekech01,22-127,F,2020-12-23,ORL,,MIA,W,4.6,0,22,1,3,.333,1,2,.500,0,1,.000,1,2,.500,2,3,5,2,1,0,1,0,3,-2.7
81,Khem Birch\birchkh01,28-092,C-F,2020-12-29,ORL,@,OKC,W,4.4,0,14,3,4,.750,3,4,.750,0,0,,1,2,.500,1,1,2,0,2,0,2,4,7,-5.4
82,Cole Anthony\anthoco01,20-241,G,2021-01-11,ORL,,MIL,L,4.3,1,23,4,13,.308,3,9,.333,1,4,.250,3,3,1.000,0,3,3,1,1,0,2,2,12,-9.8
83,Michael Carter-Williams\cartemi01,29-074,G,2020-12-23,ORL,,MIA,W,4.3,0,18,2,5,.400,2,3,.667,0,2,.000,0,0,,3,0,3,0,1,1,0,2,4,-3.5
84,Dwayne Bacon\bacondw01,25-119,G,2020-12-27,ORL,@,WAS,W,4.2,1,17,2,4,.500,2,3,.667,0,1,.000,2,2,1.000,0,3,3,0,0,1,1,1,6,-5.0
85,Dwayne Bacon\bacondw01,25-123,G,2020-12-31,ORL,,PHI,L,4.1,1,28,4,9,.444,3,6,.500,1,3,.333,1,2,.500,0,3,3,1,0,0,2,1,10,-6.7
86,James Ennis\ennisja01,30-189,F,2021-01-06,ORL,,CLE,W,4.0,0,16,2,3,.667,2,2,1.000,0,1,.000,2,2,1.000,2,0,2,1,0,0,2,2,6,-3.2
87,Terrence Ross\rosste01,29-339,F-G,2021-01-09,ORL,@,DAL,L,4.0,0,33,3,12,.250,3,8,.375,0,4,.000,5,5,1.000,0,4,4,3,0,1,3,2,11,-11.2
